"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","49","","DocumentSuite","","","","[GetDocument] Incorrect document ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","8","","DocumentStorageSuite","","","","[Delete] Delete document test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","9","","DocumentStorageSuite","","","","[Create] Create document test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","16","","FieldSuite","","","","[ListDocumentFields] Incorrect document ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","7","","InfoCardStorageSuite","","","","[Delete] Delete info card test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","19","","DocumentSuite","","","","[GetDocumentByInfoCardID] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","8","","CompanySuite","","","","[GetCompany] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","33","","EmployeeSuite","","","","[GetEmployee] Success",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","2","","FieldStorageSuite","","","","[ListCardFields] List document fields test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","3","","FieldSuite","","","","[CreateDocumentField] Incorrect document ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","51","","InfoCardSuite","","","","[GetInfoCard] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","27","","InfoCardSuite","","","","[ValidateInfoCard] Incorrect info card ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","34","","EmployeeSuite","","","","[DeleteEmployee] Success",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","5","","FieldStorageSuite","","","","[Delete] Delete document field test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","4","","EmployeeStorageSuite","","","","[Register] Register employee test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","30","","EmployeeSuite","","","","[GetEmployee] Incorrect phone number",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","58","","InfoCardSuite","","","","[GetInfoCard] Incorrect info card ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","1","","CompanySuite","","","","[GetCompany] Incorrect company ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","8","","InfoCardStorageSuite","","","","[GetByEmployeeID] Get info card by employee ID test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","20","","InfoCardSuite","","","","[CreateInfoCard] Incorrect employee ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","9","","CheckpointStorageSuite","","","","[GetCheckpoint] Get checkpoint test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","4","","DocumentSuite","","","","[DeleteDocument] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","22","","FieldSuite","","","","[GetDocumentField] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:33 GMT 2024","2012","","AuthSuite","","","","[LoginEmployee] Correct request",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","1","","CompanyStorageSuite","","","","[GetByID] Get company by ID test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","1","","CompanyStorageSuite","","","","[Create] Create company test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","24","","FieldSuite","","","","[CreateDocumentField] Success",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","2","","CompanyStorageSuite","","","","[Delete] Delete company test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","46","","InfoCardSuite","","","","[DeleteInfoCard] Incorrect info card ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","4","","CheckpointStorageSuite","","","","[ListPassages] List passages test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","2","","EmployeeStorageSuite","","","","[GetByInfoCardID] Get employee by info card ID test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","4","","FieldStorageSuite","","","","[Create] Create document field test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","4","","FieldStorageSuite","","","","[Get] Get document field test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","1121","","AuthSuite","","","","[RegisterEmployee] Incorrect company ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","13","","InfoCardStorageSuite","","","","[List] List info cards test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","7","","InfoCardStorageSuite","","","","[GetByID] Get info card by ID test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:33 GMT 2024","2023","","AuthSuite","","","","[RegisterEmployee] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","27","","FieldSuite","","","","[GetDocumentField] Incorrect document ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","51","","InfoCardSuite","","","","[DeleteInfoCard] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","29","","FieldSuite","","","","[DeleteDocumentField] Incorrect field ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","1","","FieldSuite","","","","[DeleteDocumentField] Success",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","21","","CheckpointStorageSuite","","","","[DeletePassage] Delete passage test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","1","","AuthSuite","","","","[LoginEmployee] Incorrect password",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","2","","EmployeeStorageSuite","","","","[UpdateRefreshToken] Update refresh token test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","9","","InfoCardStorageSuite","","","","[Create] Create info card test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","6","","DocumentSuite","","","","[DeleteDocument] Incorrect document ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","5","","CheckpointSuite","","","","[ListPassages] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","19","","CheckpointSuite","","","","[CreatePassage] Incorrect checkpoint ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","7","","CheckpointSuite","","","","[CreatePassage] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","52","","InfoCardSuite","","","","[CreateInfoCard] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","4","","CheckpointSuite","","","","[ListPassages] Incorrect document ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","3","","EmployeeStorageSuite","","","","[Delete] Delete employee test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","13","","DocumentSuite","","","","[GetDocumentByInfoCardID] Incorrect info card ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","38","","DocumentSuite","","","","[GetDocument] Success",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","2","","CheckpointStorageSuite","","","","[CreateCheckpoint] Create checkpoint test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","4","","CheckpointStorageSuite","","","","[GetPassage] Get passage test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","12","","DocumentSuite","","","","[CreateDocument] Incorrect info card ID",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","33","","InfoCardSuite","","","","[ListInfoCards] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","32","","EmployeeSuite","","","","[DeleteEmployee] Incorrect info card ID",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","14","","CheckpointStorageSuite","","","","[CreatePassage] Create passage test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","21","","FieldSuite","","","","[ListDocumentFields] Success",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","10","","DocumentSuite","","","","[CreateDocument] Success",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","12","","CheckpointStorageSuite","","","","[DeleteCheckpoint] Delete checkpoint test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","1","","AuthSuite","","","","[LoginEmployee] Incorrect phone number",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","59","","InfoCardSuite","","","","[ListInfoCards] Incorrect request",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","1","","EmployeeStorageSuite","","","","[GetByPhone] Get employee by phone test",""
"passed","Sun Oct 06 08:57:31 GMT 2024","Sun Oct 06 08:57:31 GMT 2024","57","","InfoCardSuite","","","","[ValidateInfoCard] Success",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","1","","DocumentStorageSuite","","","","[GetByID] Get document by ID test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","2","","DocumentStorageSuite","","","","[GetByInfoCardID] Get document by info card ID test",""
"passed","Sun Oct 06 08:57:32 GMT 2024","Sun Oct 06 08:57:32 GMT 2024","11","","InfoCardStorageSuite","","","","[Validate] Validate info card test",""
